date,ppi,ppi_pro_change
2005-03-21,107.0,0.0037523452157599557
2005-03-22,107.0,0.0037523452157599557
2005-03-23,107.0,0.0037523452157599557
2005-03-24,107.0,0.0037523452157599557
2005-03-25,107.0,0.0037523452157599557
2005-03-26,107.0,0.0037523452157599557
2005-03-27,107.0,0.0037523452157599557
2005-03-28,107.0,0.0037523452157599557
2005-03-29,107.0,0.0037523452157599557
2005-03-30,107.0,0.0037523452157599557
2005-03-31,107.0,0.0037523452157599557
2005-04-01,107.2,0.0018691588785046953
2005-04-02,107.2,0.0018691588785046953
2005-04-03,107.2,0.0018691588785046953
2005-04-04,107.2,0.0018691588785046953
2005-04-05,107.2,0.0018691588785046953
2005-04-06,107.2,0.0018691588785046953
2005-04-07,107.2,0.0018691588785046953
2005-04-08,107.2,0.0018691588785046953
2005-04-09,107.2,0.0018691588785046953
2005-04-10,107.2,0.0018691588785046953
2005-04-11,107.2,0.0018691588785046953
2005-04-12,107.2,0.0018691588785046953
2005-04-13,107.2,0.0018691588785046953
2005-04-14,107.2,0.0018691588785046953
2005-04-15,107.2,0.0018691588785046953
2005-04-16,107.2,0.0018691588785046953
2005-04-17,107.2,0.0018691588785046953
2005-04-18,107.2,0.0018691588785046953
2005-04-19,107.2,0.0018691588785046953
2005-04-20,107.2,0.0018691588785046953
2005-04-21,107.2,0.0018691588785046953
2005-04-22,107.2,0.0018691588785046953
2005-04-23,107.2,0.0018691588785046953
2005-04-24,107.2,0.0018691588785046953
2005-04-25,107.2,0.0018691588785046953
2005-04-26,107.2,0.0018691588785046953
2005-04-27,107.2,0.0018691588785046953
2005-04-28,107.2,0.0018691588785046953
2005-04-29,107.2,0.0018691588785046953
2005-04-30,107.2,0.0018691588785046953
2005-05-01,107.2,0.0
2005-05-02,107.2,0.0
2005-05-03,107.2,0.0
2005-05-04,107.2,0.0
2005-05-05,107.2,0.0
2005-05-06,107.2,0.0
2005-05-07,107.2,0.0
2005-05-08,107.2,0.0
2005-05-09,107.2,0.0
2005-05-10,107.2,0.0
2005-05-11,107.2,0.0
2005-05-12,107.2,0.0
2005-05-13,107.2,0.0
2005-05-14,107.2,0.0
2005-05-15,107.2,0.0
2005-05-16,107.2,0.0
2005-05-17,107.2,0.0
2005-05-18,107.2,0.0
2005-05-19,107.2,0.0
2005-05-20,107.2,0.0
2005-05-21,107.2,0.0
2005-05-22,107.2,0.0
2005-05-23,107.2,0.0
2005-05-24,107.2,0.0
2005-05-25,107.2,0.0
2005-05-26,107.2,0.0
2005-05-27,107.2,0.0
2005-05-28,107.2,0.0
2005-05-29,107.2,0.0
2005-05-30,107.2,0.0
2005-05-31,107.2,0.0
2005-06-01,107.5,0.002798507462686617
2005-06-02,107.5,0.002798507462686617
2005-06-03,107.5,0.002798507462686617
2005-06-04,107.5,0.002798507462686617
2005-06-05,107.5,0.002798507462686617
2005-06-06,107.5,0.002798507462686617
2005-06-07,107.5,0.002798507462686617
2005-06-08,107.5,0.002798507462686617
2005-06-09,107.5,0.002798507462686617
2005-06-10,107.5,0.002798507462686617
2005-06-11,107.5,0.002798507462686617
2005-06-12,107.5,0.002798507462686617
2005-06-13,107.5,0.002798507462686617
2005-06-14,107.5,0.002798507462686617
2005-06-15,107.5,0.002798507462686617
2005-06-16,107.5,0.002798507462686617
2005-06-17,107.5,0.002798507462686617
2005-06-18,107.5,0.002798507462686617
2005-06-19,107.5,0.002798507462686617
2005-06-20,107.5,0.002798507462686617
2005-06-21,107.5,0.002798507462686617
2005-06-22,107.5,0.002798507462686617
2005-06-23,107.5,0.002798507462686617
2005-06-24,107.5,0.002798507462686617
2005-06-25,107.5,0.002798507462686617
2005-06-26,107.5,0.002798507462686617
2005-06-27,107.5,0.002798507462686617
2005-06-28,107.5,0.002798507462686617
2005-06-29,107.5,0.002798507462686617
2005-06-30,107.5,0.002798507462686617
2005-07-01,107.7,0.0018604651162790198
2005-07-02,107.7,0.0018604651162790198
2005-07-03,107.7,0.0018604651162790198
2005-07-04,107.7,0.0018604651162790198
2005-07-05,107.7,0.0018604651162790198
2005-07-06,107.7,0.0018604651162790198
2005-07-07,107.7,0.0018604651162790198
2005-07-08,107.7,0.0018604651162790198
2005-07-09,107.7,0.0018604651162790198
2005-07-10,107.7,0.0018604651162790198
2005-07-11,107.7,0.0018604651162790198
2005-07-12,107.7,0.0018604651162790198
2005-07-13,107.7,0.0018604651162790198
2005-07-14,107.7,0.0018604651162790198
2005-07-15,107.7,0.0018604651162790198
2005-07-16,107.7,0.0018604651162790198
2005-07-17,107.7,0.0018604651162790198
2005-07-18,107.7,0.0018604651162790198
2005-07-19,107.7,0.0018604651162790198
2005-07-20,107.7,0.0018604651162790198
2005-07-21,107.7,0.0018604651162790198
2005-07-22,107.7,0.0018604651162790198
2005-07-23,107.7,0.0018604651162790198
2005-07-24,107.7,0.0018604651162790198
2005-07-25,107.7,0.0018604651162790198
2005-07-26,107.7,0.0018604651162790198
2005-07-27,107.7,0.0018604651162790198
2005-07-28,107.7,0.0018604651162790198
2005-07-29,107.7,0.0018604651162790198
2005-07-30,107.7,0.0018604651162790198
2005-07-31,107.7,0.0018604651162790198
2005-08-01,107.7,0.0
2005-08-02,107.7,0.0
2005-08-03,107.7,0.0
2005-08-04,107.7,0.0
2005-08-05,107.7,0.0
2005-08-06,107.7,0.0
2005-08-07,107.7,0.0
2005-08-08,107.7,0.0
2005-08-09,107.7,0.0
2005-08-10,107.7,0.0
2005-08-11,107.7,0.0
2005-08-12,107.7,0.0
2005-08-13,107.7,0.0
2005-08-14,107.7,0.0
2005-08-15,107.7,0.0
2005-08-16,107.7,0.0
2005-08-17,107.7,0.0
2005-08-18,107.7,0.0
2005-08-19,107.7,0.0
2005-08-20,107.7,0.0
2005-08-21,107.7,0.0
2005-08-22,107.7,0.0
2005-08-23,107.7,0.0
2005-08-24,107.7,0.0
2005-08-25,107.7,0.0
2005-08-26,107.7,0.0
2005-08-27,107.7,0.0
2005-08-28,107.7,0.0
2005-08-29,107.7,0.0
2005-08-30,107.7,0.0
2005-08-31,107.7,0.0
2005-09-01,108.4,0.006499535747446661
2005-09-02,108.4,0.006499535747446661
2005-09-03,108.4,0.006499535747446661
2005-09-04,108.4,0.006499535747446661
2005-09-05,108.4,0.006499535747446661
2005-09-06,108.4,0.006499535747446661
2005-09-07,108.4,0.006499535747446661
2005-09-08,108.4,0.006499535747446661
2005-09-09,108.4,0.006499535747446661
2005-09-10,108.4,0.006499535747446661
2005-09-11,108.4,0.006499535747446661
2005-09-12,108.4,0.006499535747446661
2005-09-13,108.4,0.006499535747446661
2005-09-14,108.4,0.006499535747446661
2005-09-15,108.4,0.006499535747446661
2005-09-16,108.4,0.006499535747446661
2005-09-17,108.4,0.006499535747446661
2005-09-18,108.4,0.006499535747446661
2005-09-19,108.4,0.006499535747446661
2005-09-20,108.4,0.006499535747446661
2005-09-21,108.4,0.006499535747446661
2005-09-22,108.4,0.006499535747446661
2005-09-23,108.4,0.006499535747446661
2005-09-24,108.4,0.006499535747446661
2005-09-25,108.4,0.006499535747446661
2005-09-26,108.4,0.006499535747446661
2005-09-27,108.4,0.006499535747446661
2005-09-28,108.4,0.006499535747446661
2005-09-29,108.4,0.006499535747446661
2005-09-30,108.4,0.006499535747446661
2005-10-01,109.0,0.005535055350553542
2005-10-02,109.0,0.005535055350553542
2005-10-03,109.0,0.005535055350553542
2005-10-04,109.0,0.005535055350553542
2005-10-05,109.0,0.005535055350553542
2005-10-06,109.0,0.005535055350553542
2005-10-07,109.0,0.005535055350553542
2005-10-08,109.0,0.005535055350553542
2005-10-09,109.0,0.005535055350553542
2005-10-10,109.0,0.005535055350553542
2005-10-11,109.0,0.005535055350553542
2005-10-12,109.0,0.005535055350553542
2005-10-13,109.0,0.005535055350553542
2005-10-14,109.0,0.005535055350553542
2005-10-15,109.0,0.005535055350553542
2005-10-16,109.0,0.005535055350553542
2005-10-17,109.0,0.005535055350553542
2005-10-18,109.0,0.005535055350553542
2005-10-19,109.0,0.005535055350553542
2005-10-20,109.0,0.005535055350553542
2005-10-21,109.0,0.005535055350553542
2005-10-22,109.0,0.005535055350553542
2005-10-23,109.0,0.005535055350553542
2005-10-24,109.0,0.005535055350553542
2005-10-25,109.0,0.005535055350553542
2005-10-26,109.0,0.005535055350553542
2005-10-27,109.0,0.005535055350553542
2005-10-28,109.0,0.005535055350553542
2005-10-29,109.0,0.005535055350553542
2005-10-30,109.0,0.005535055350553542
2005-10-31,109.0,0.005535055350553542
2005-11-01,110.3,0.01192660550458724
2005-11-02,110.3,0.01192660550458724
2005-11-03,110.3,0.01192660550458724
2005-11-04,110.3,0.01192660550458724
2005-11-05,110.3,0.01192660550458724
2005-11-06,110.3,0.01192660550458724
